0.8509804,0.63921571,0.8509804,1,0.38823533,0.81176472,0.70980394,0.56078428,0.98039216,0.70980394,1,0.29803923,0.63921571,0,0,0.019607844,9
0.43137258,0.92941177,0.85882354,1,1,0.74117649,0.61176467,0.5215686,0.54901958,0.36078432,0.98039216,0.18823531,0.56078428,0,0,0,3
0.30980393,0.87058824,0.58823526,1,0.58823526,0.69019604,0.74117649,0.63921571,1,0.41960788,0.8392157,0.10980393,0.43921572,0,0,0,3
0.79999995,1,1,0.96862745,0.74901962,0.81960785,0.54901958,0.65882349,0.34901962,0.49803925,0.20000002,0.34117648,0.050980397,0.16078432,0,0,1
0.36862746,1,0.56862742,0.90980393,0.47058827,0.50196075,0.21960786,0.20000002,0,0.16862746,0.32941177,0.16862746,0.65882349,0.039215688,1,0,2
0.63137257,1,0.21176472,0.81176472,0,0.50980389,0.070588239,0.18823531,0.56078428,0,1,0.16862746,0.54117644,0.32941177,0,0.18823531,6
1,1,0.58039212,0.96078432,0.20000002,0.94901961,0,0.61960781,0.27843139,0.58039212,0.65882349,0.45098042,0.54901958,0.10980393,0.16862746,0,5
0.10980393,0.69019604,0.41960788,1,0.72941172,0.70980394,0.56078428,0.29019609,0.18823531,0,0,0.10980393,0.50196075,0.12941177,1,0.070588239,2
0.30980393,0.76862741,0.34901962,1,0.69019604,0.85882354,0.50980389,0.43137258,0.18823531,0.078431375,0,0.031372551,0.49019611,0.031372551,1,0,2
0.41176474,0.90980393,0.52941173,0.61960781,0.94901961,0.29803923,0.5215686,0,0.14117648,0.16078432,0,0.52941173,0.16862746,0.87058824,1,1,5
0,0.81960785,0.38039219,1,0.70980394,0.78823531,0.40000004,0.50980389,0.58823526,0.41176474,1,0.20000002,0.63921571,0,0.090196081,0.050980397,3
1,1,0.76078427,0.94901961,0.50196075,0.72156858,0.25882354,0.49019611,0.058823533,0.25882354,0,0,0.45882356,0.019607844,0.25098041,0.20000002,6
1,0.87843138,0.72156858,1,0.27058825,0.87843138,0.058823533,0.58039212,0.34117648,0.50980389,0.67843139,0.36862746,0.43137258,0.078431375,0,0,5
0.25098041,0.76078427,0,0.38823533,0.14901961,0,0.67843139,0.011764707,0.98039216,0.36078432,1,0.76078427,0.58039212,1,0.070588239,0.90196079,0
